Gender,Age,P_ID,Initial_score,Followup_score,Retention_90,Retention_80,Retention_70,DET_1,DET_2,DET_3,DET_4,DET_5,COG_6,COG_7,COG_8,COG_9,COG_10,COG_11,MEM_12,MEM_13,MEM_14,MEM_15,MEM_16,MEM_17,SOC_18,SOC_19,SOC_20,META_21,META_22,META_23,META_24,META_25,RSKILL_26,WSKILL_27,SSKILL_28,LSKILL_29,TOOLS_30,TOOLS_31,CONDITION_32,CONDITION_33,CONDITION_34,CONDITION_35,CONDITION_36,ENVIRONMENT_37,ENVIRONMENT_38,ENVIRONMENT_39,ENVIRONMENT_40,ENVIRONMENT_41,ENVIRONMENT_42,TIME_43,TIME_44,TIME_45
1.0,19.0,40311914266,22,15,0,0,0,3,4,4,2,3,4,3,2,4,3,4,2,4,4,4,3,4,4,2,2,4,3,3,2,4,4,3,4,2,4,2,4,2,3,4,3,2,2,4,4,4,3,2,3,3
1.0,19.0,40311914267,29,28,1,1,1,3,4,3,4,5,2,5,2,3,3,4,2,4,4,3,4,4,4,2,4,3,2,3,2,3,3,4,4,2,3,3,5,2,2,2,4,4,3,4,4,4,3,2,3,3
1.0,19.0,40311914268,29,30,1,1,1,3,4,4,2,4,5,4,1,5,5,3,2,3,4,3,2,2,2,2,4,3,4,5,5,5,3,4,4,2,5,4,5,2,2,3,3,2,2,5,4,5,3,2,3,3
1.0,19.0,40311914269,23,16,0,0,0,4,4,5,3,4,3,4,2,3,3,4,4,3,3,4,3,4,2,3,2,3,4,4,3,4,5,3,4,3,3,4,3,4,2,4,3,5,4,4,4,4,3,5,5,4
1.0,19.0,40311914270,26,29,1,1,1,4,5,5,4,2,5,5,4,3,4,4,4,4,3,5,4,4,3,2,4,4,3,5,3,4,4,3,4,5,5,4,3,3,5,4,4,4,5,5,5,5,5,3,4,2
1.0,20.0,40311914272,30,20,0,0,0,3,4,3,4,4,4,4,2,4,3,4,3,4,2,4,3,4,2,3,3,4,4,4,4,4,4,3,4,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
,,40311914273,23,10,0,0,0,3,4,4,4,2,3,4,4,4,2,4,4,3,5,4,2,4,4,3,3,3,4,4,3,4,2,3,3,3,4,3,4,3,2,4,3,4,4,3,4,4,3,2,4,3
1.0,18.0,40311914274,15,4,0,0,0,4,4,3,4,5,3,4,2,4,2,4,2,4,4,4,4,4,4,2,4,3,4,4,4,4,4,3,5,3,5,4,5,3,4,2,5,3,3,4,4,4,4,3,4,4
1.0,19.0,40311914276,30,24,0,1,1,4,4,4,4,5,4,3,2,4,3,4,2,5,4,5,4,4,5,2,4,3,4,5,4,5,4,5,5,3,5,5,4,4,3,3,4,4,4,4,4,4,4,5,3,3
1.0,19.0,40311914277,20,11,0,0,0,2,5,3,5,5,5,5,3,5,5,5,5,3,2,5,2,4,4,1,5,5,5,4,5,5,5,5,5,3,5,5,5,2,2,4,3,5,2,5,5,5,5,5,5,5
1.0,21.0,40311914279,17,18,1,1,1,4,4,3,3,4,3,4,4,5,4,4,2,5,5,4,5,5,3,1,4,4,4,4,4,3,4,4,3,3,3,2,2,1,4,4,4,4,4,3,1,4,3,2,4,4
1.0,19.0,40311914280,30,29,1,1,1,4,4,5,4,2,5,5,3,4,4,3,4,4,3,4,2,4,5,5,2,4,5,5,2,2,2,3,4,5,5,4,5,5,5,4,5,5,1,5,4,4,5,1,5,4
1.0,19.0,40311914281,30,30,1,1,1,3,4,4,2,2,4,4,2,2,4,2,1,4,4,2,1,2,1,1,3,2,4,4,2,4,2,2,3,4,4,2,4,3,3,2,4,4,2,4,2,2,4,2,4,2
1.0,19.0,40311914282,28,11,0,0,0,2,3,5,4,3,4,5,4,4,4,4,3,3,4,3,4,5,4,2,3,5,4,4,4,5,4,3,4,3,5,5,5,2,2,2,4,5,2,5,5,5,4,4,2,5
1.0,19.0,40311914284,30,20,0,0,0,3,4,2,3,2,3,4,1,4,3,4,4,2,3,3,2,4,5,2,3,4,3,3,3,4,5,3,3,2,4,1,3,2,2,3,4,2,2,3,2,3,2,2,3,2
1.0,19.0,40311914285,28,27,1,1,1,3,4,2,5,3,4,4,3,4,3,3,3,4,4,3,3,4,5,2,4,3,4,4,3,4,3,3,4,3,4,4,4,4,3,3,3,4,3,4,3,4,3,2,3,2
1.0,21.0,40311914286,25,24,1,1,1,3,2,5,2,4,4,5,1,5,4,3,3,3,4,3,3,5,2,2,3,3,3,4,5,4,3,5,3,3,2,5,5,4,3,2,4,3,2,3,3,3,3,4,3,3
1.0,20.0,40311914287,28,21,0,0,1,5,4,4,3,2,3,3,3,1,1,3,2,3,3,3,2,3,1,2,3,3,2,5,2,4,2,2,3,3,4,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2
1.0,19.0,40311914289,12,8,0,0,0,4,4,4,4,3,4,3,3,4,3,4,2,4,4,4,3,4,5,3,4,3,4,3,4,3,4,3,3,3,3,4,3,3,4,4,4,3,3,3,4,4,4,4,4,4
1.0,20.0,40311914290,20,10,0,0,0,3,5,4,4,4,5,5,1,5,4,4,3,4,3,4,3,4,3,1,3,3,4,5,3,4,4,5,4,4,4,4,4,5,2,4,3,4,4,4,4,4,4,1,3,2
1.0,21.0,40311914291,28,29,1,1,1,2,5,2,5,4,4,3,1,4,3,3,4,4,2,3,4,4,2,2,3,4,5,5,3,3,4,3,2,4,5,3,3,2,2,3,3,4,3,4,4,4,2,2,4,4
,,40311914292,21,12,0,0,0,3,4,4,4,3,2,4,3,4,4,2,4,3,4,4,3,4,5,2,4,3,4,5,2,4,4,3,4,5,5,4,4,4,4,5,1,3,4,3,3,3,3,5,3,3
1.0,19.0,40311914293,18,22,1,1,1,4,4,5,3,5,4,5,2,4,5,4,2,3,5,4,4,3,5,5,5,4,4,5,5,4,4,3,5,3,5,4,3,4,4,3,3,4,4,4,1,3,3,2,4,4
1.0,20.0,40311914294,29,29,1,1,1,2,4,2,5,2,3,5,5,5,5,2,2,2,2,2,2,3,4,1,2,2,3,5,4,4,4,5,4,5,5,5,5,4,2,3,4,2,5,2,3,3,3,2,4,5
1.0,19.0,40311914296,30,27,1,1,1,4,5,2,4,4,4,4,2,4,2,5,4,3,2,4,2,4,5,4,4,3,5,5,3,4,4,2,4,4,4,4,4,2,1,4,1,3,2,4,3,4,3,2,2,3
1.0,19.0,40311914297,26,11,0,0,0,3,2,3,4,2,3,4,2,5,5,4,2,3,3,3,3,3,3,2,4,4,4,5,3,3,3,4,3,2,3,3,4,4,4,4,3,3,3,3,4,3,3,4,3,4
1.0,22.0,40311914298,27,30,1,1,1,4,4,5,4,4,3,5,4,5,5,4,3,3,5,4,3,4,5,5,4,4,5,5,5,5,5,2,5,2,5,5,5,2,1,5,3,5,2,4,5,4,3,2,5,4
,,40311914299,28,20,0,0,1,4,5,3,2,2,3,4,2,4,3,4,2,2,1,3,2,4,5,4,4,3,4,5,2,2,5,2,2,2,4,4,3,5,4,4,1,5,1,2,4,5,3,4,3,2
,,40311914300,18,12,0,0,0,2,4,4,4,3,5,4,3,4,3,5,5,5,5,4,3,3,4,2,4,4,4,5,2,3,3,4,3,5,5,3,5,5,2,5,2,5,2,5,3,3,4,2,5,3
1.0,19.0,40311914301,20,16,0,1,1,3,4,4,4,3,3,4,3,3,3,3,4,3,3,4,2,2,4,3,4,3,4,5,3,3,5,3,4,4,5,4,4,4,4,3,4,3,2,3,3,3,3,3,3,3
1.0,22.0,40311914303,21,20,1,1,1,4,5,3,4,2,4,5,5,4,4,3,2,4,4,4,4,4,4,4,4,4,3,3,5,4,3,4,4,3,5,3,5,4,3,4,2,4,2,4,3,4,4,4,2,3
0.0,22.0,40311914448,12,9,0,0,1,5,5,3,4,5,4,5,3,5,3,2,1,4,1,4,4,5,4,1,4,3,4,5,5,5,4,1,3,4,5,5,1,5,1,1,4,2,1,2,1,1,1,1,1,1
1.0,21.0,40311914449,28,30,1,1,1,4,5,2,4,3,4,5,2,5,5,5,4,5,5,2,2,5,2,2,5,5,4,5,3,5,3,4,5,2,5,2,2,4,5,2,5,5,2,5,3,3,3,4,4,5
,,40321913014,30,29,1,1,1,4,3,3,4,5,2,5,1,3,5,3,2,2,5,3,4,2,5,5,4,4,4,5,5,5,4,5,5,2,5,5,5,1,5,5,3,4,4,3,5,5,3,5,3,4
